NO_MUNICIPIO_ESC,MESORREGIAO,PRESENCA
Caiana,ZONA DA MATA,0.3333333333333333
Cajuri,ZONA DA MATA,0.6
Caldas,SUL/SUDOESTE DE MINAS,0.8571428571428571
Camacho,OESTE DE MINAS,0.6666666666666666
Camanducaia,SUL/SUDOESTE DE MINAS,0.37777777777777777
Cambuquira,SUL/SUDOESTE DE MINAS,0.8571428571428571
Cambuí,SUL/SUDOESTE DE MINAS,0.4528301886792453
Campanha,SUL/SUDOESTE DE MINAS,0.5901639344262295
Campanário,VALE DO RIO DOCE,0.1
Campestre,SUL/SUDOESTE DE MINAS,0.4897959183673469
Campina Verde,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,0.5576923076923077
Campo Azul,NORTE DE MINAS,0.5
Campo Belo,OESTE DE MINAS,0.5889830508474576
Campo Florido,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,0.21428571428571427
Campo do Meio,SUL/SUDOESTE DE MINAS,0.4594594594594595
Campos Altos,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,0.5476190476190477
Campos Gerais,SUL/SUDOESTE DE MINAS,0.6831683168316832
Cana Verde,OESTE DE MINAS,0.8125
Canaã,ZONA DA MATA,0.5
Candeias,OESTE DE MINAS,0.5384615384615384
Cantagalo,VALE DO RIO DOCE,0.3333333333333333
Canápolis,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,0.42857142857142855
Caparaó,ZONA DA MATA,0.5
Capela Nova,CAMPO DAS VERTENTES,0.46153846153846156
Capelinha,JEQUITINHONHA,0.6377952755905512
Capetinga,SUL/SUDOESTE DE MINAS,0.3333333333333333
Capim Branco,METROPOLITANA DE BELO HORIZONTE,0.3333333333333333
Capinópolis,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,0.42105263157894735
Capitão Andrade,VALE DO RIO DOCE,0.38461538461538464
Capitão Enéas,NORTE DE MINAS,0.5789473684210527
Capitólio,SUL/SUDOESTE DE MINAS,0.375
Caputira,ZONA DA MATA,0.6153846153846154
Caranaíba,CAMPO DAS VERTENTES,0.5454545454545454
Carandaí,CAMPO DAS VERTENTES,0.36
Carangola,ZONA DA MATA,0.8020833333333334
Caratinga,VALE DO RIO DOCE,0.6754098360655738
Caraí,JEQUITINHONHA,0.38461538461538464
Carbonita,JEQUITINHONHA,0.5714285714285714
Careaçu,SUL/SUDOESTE DE MINAS,0.7
Carlos Chagas,VALE DO MUCURI,0.675
Carmo da Cachoeira,SUL/SUDOESTE DE MINAS,0.5588235294117647
Carmo da Mata,OESTE DE MINAS,0.5172413793103449
Carmo de Minas,SUL/SUDOESTE DE MINAS,0.7407407407407407
Carmo do Cajuru,OESTE DE MINAS,0.4594594594594595
Carmo do Paranaíba,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,0.6351351351351351
Carmo do Rio Claro,SUL/SUDOESTE DE MINAS,0.6212121212121212
Carmésia,VALE DO RIO DOCE,0.3333333333333333
Carmópolis de Minas,OESTE DE MINAS,0.6875
Carneirinho,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,0.631578947368421
Carrancas,CAMPO DAS VERTENTES,0.5625
Carvalhos,SUL/SUDOESTE DE MINAS,0.6666666666666666
Carvalhópolis,SUL/SUDOESTE DE MINAS,0.75
Casa Grande,METROPOLITANA DE BELO HORIZONTE,0.75
Cascalho Rico,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,0.5
Cataguases,ZONA DA MATA,0.6611111111111111
Catas Altas,METROPOLITANA DE BELO HORIZONTE,0.8666666666666667
Catas Altas da Noruega,METROPOLITANA DE BELO HORIZONTE,0.42857142857142855
Catuji,VALE DO MUCURI,0.875
Catuti,NORTE DE MINAS,0.4444444444444444
Caxambu,SUL/SUDOESTE DE MINAS,0.8279569892473119
Cedro do Abaeté,CENTRAL MINEIRA,1.0
Central de Minas,VALE DO RIO DOCE,0.25
Centralina,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,0.4117647058823529
Chalé,ZONA DA MATA,0.4
Chapada Gaúcha,NORTE DE MINAS,0.35
Chapada do Norte,JEQUITINHONHA,0.6909090909090909
Chiador,ZONA DA MATA,0.0
Chácara,ZONA DA MATA,0.3333333333333333
Cipotânea,ZONA DA MATA,0.4
Claraval,SUL/SUDOESTE DE MINAS,0.16666666666666666
Claro dos Poções,NORTE DE MINAS,0.7272727272727273
Cláudio,OESTE DE MINAS,0.6916666666666667
Coimbra,ZONA DA MATA,0.6857142857142857
Coluna,VALE DO RIO DOCE,0.5
Comendador Gomes,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,0.6153846153846154
Comercinho,JEQUITINHONHA,0.6363636363636364
Conceição da Aparecida,SUL/SUDOESTE DE MINAS,0.4444444444444444
Conceição da Barra de Minas,CAMPO DAS VERTENTES,0.4444444444444444
Conceição das Alagoas,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,0.2987012987012987
Conceição das Pedras,SUL/SUDOESTE DE MINAS,0.4
Conceição de Ipanema,VALE DO RIO DOCE,0.2857142857142857
Conceição do Mato Dentro,METROPOLITANA DE BELO HORIZONTE,0.7
Conceição do Pará,OESTE DE MINAS,0.0
Conceição do Rio Verde,SUL/SUDOESTE DE MINAS,0.2631578947368421
Conceição dos Ouros,SUL/SUDOESTE DE MINAS,0.5384615384615384
Confins,METROPOLITANA DE BELO HORIZONTE,0.5714285714285714
Congonhal,SUL/SUDOESTE DE MINAS,0.23809523809523808
Congonhas,METROPOLITANA DE BELO HORIZONTE,0.8015564202334631
Congonhas do Norte,METROPOLITANA DE BELO HORIZONTE,0.5
Conquista,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,0.42857142857142855
Conselheiro Lafaiete,METROPOLITANA DE BELO HORIZONTE,0.705078125
Conselheiro Pena,VALE DO RIO DOCE,0.6461538461538462
Consolação,SUL/SUDOESTE DE MINAS,0.0
Contagem,METROPOLITANA DE BELO HORIZONTE,0.6330071174377224
Coqueiral,SUL/SUDOESTE DE MINAS,0.6190476190476191
Coração de Jesus,NORTE DE MINAS,0.6304347826086957
Cordisburgo,METROPOLITANA DE BELO HORIZONTE,0.7647058823529411
Cordislândia,SUL/SUDOESTE DE MINAS,0.5
Corinto,CENTRAL MINEIRA,0.6666666666666666
Coroaci,VALE DO RIO DOCE,0.6666666666666666
Coromandel,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,0.5806451612903226
Coronel Fabriciano,VALE DO RIO DOCE,0.6037151702786377
Coronel Murta,JEQUITINHONHA,0.4166666666666667
Coronel Pacheco,ZONA DA MATA,0.5
Coronel Xavier Chaves,CAMPO DAS VERTENTES,1.0
Couto de Magalhães de Minas,JEQUITINHONHA,0.5882352941176471
Cristais,OESTE DE MINAS,0.5
Cristiano Otoni,METROPOLITANA DE BELO HORIZONTE,0.42857142857142855
Cristina,SUL/SUDOESTE DE MINAS,0.3333333333333333
Cristália,NORTE DE MINAS,0.5
Crisólita,VALE DO MUCURI,0.5714285714285714
Crucilândia,METROPOLITANA DE BELO HORIZONTE,0.2727272727272727
Cruzeiro da Fortaleza,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,0.42857142857142855
Cruzília,SUL/SUDOESTE DE MINAS,0.7380952380952381
Cuparaque,VALE DO RIO DOCE,0.625
Curral de Dentro,NORTE DE MINAS,0.75
Curvelo,CENTRAL MINEIRA,0.7088607594936709
Cássia,SUL/SUDOESTE DE MINAS,0.6190476190476191
Córrego Danta,OESTE DE MINAS,0.5
Córrego Fundo,OESTE DE MINAS,0.35
Córrego Novo,VALE DO RIO DOCE,0.6666666666666666
Córrego do Bom Jesus,SUL/SUDOESTE DE MINAS,0.7058823529411765
Cônego Marinho,NORTE DE MINAS,0.3888888888888889
Datas,JEQUITINHONHA,0.5862068965517241
Delfim Moreira,SUL/SUDOESTE DE MINAS,0.6363636363636364
Delfinópolis,SUL/SUDOESTE DE MINAS,0.5384615384615384
Delta,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,0.5
Descoberto,ZONA DA MATA,0.8823529411764706
Desterro de Entre Rios,METROPOLITANA DE BELO HORIZONTE,0.7272727272727273
Desterro do Melo,CAMPO DAS VERTENTES,0.45454545454545453
Diamantina,JEQUITINHONHA,0.7818930041152263
Diogo de Vasconcelos,METROPOLITANA DE BELO HORIZONTE,0.75
Dionísio,METROPOLITANA DE BELO HORIZONTE,0.75
Divino,ZONA DA MATA,0.4634146341463415
Divino das Laranjeiras,VALE DO RIO DOCE,0.45454545454545453
Divinolândia de Minas,VALE DO RIO DOCE,0.8333333333333334
Divinésia,ZONA DA MATA,0.5
Divinópolis,OESTE DE MINAS,0.7182866556836903
Divisa Alegre,NORTE DE MINAS,0.5862068965517241
Divisa Nova,SUL/SUDOESTE DE MINAS,0.4444444444444444
Divisópolis,JEQUITINHONHA,0.47058823529411764
Dom Bosco,NOROESTE DE MINAS,0.625
Dom Cavati,VALE DO RIO DOCE,0.6666666666666666
Dom Joaquim,METROPOLITANA DE BELO HORIZONTE,0.3333333333333333
Dom Silvério,ZONA DA MATA,0.6
Dom Viçoso,SUL/SUDOESTE DE MINAS,0.0
Dona Euzébia,ZONA DA MATA,0.6666666666666666
Dores de Campos,CAMPO DAS VERTENTES,0.5
Dores de Guanhães,VALE DO RIO DOCE,0.6153846153846154
Dores do Indaiá,CENTRAL MINEIRA,0.5476190476190477
Dores do Turvo,ZONA DA MATA,0.6666666666666666
Doresópolis,OESTE DE MINAS,0.0
Douradoquara,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,0.8
Durandé,ZONA DA MATA,0.2
Elói Mendes,SUL/SUDOESTE DE MINAS,0.525
Engenheiro Caldas,VALE DO RIO DOCE,0.75
Engenheiro Navarro,NORTE DE MINAS,0.46153846153846156
Entre Folhas,VALE DO RIO DOCE,0.6875
Entre Rios de Minas,METROPOLITANA DE BELO HORIZONTE,0.6557377049180327
Ervália,ZONA DA MATA,0.7627118644067796
Esmeraldas,METROPOLITANA DE BELO HORIZONTE,0.5221238938053098
Espera Feliz,ZONA DA MATA,0.6190476190476191
Espinosa,NORTE DE MINAS,0.5698924731182796
Espírito Santo do Dourado,SUL/SUDOESTE DE MINAS,0.2
Estiva,SUL/SUDOESTE DE MINAS,0.5
Estrela Dalva,ZONA DA MATA,0.0
Estrela do Indaiá,CENTRAL MINEIRA,0.8333333333333334
Estrela do Sul,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,0.43243243243243246
Eugenópolis,ZONA DA MATA,0.4
Ewbank da Câmara,ZONA DA MATA,0.42857142857142855
Extrema,SUL/SUDOESTE DE MINAS,0.484472049689441
Fama,SUL/SUDOESTE DE MINAS,0.6
Faria Lemos,ZONA DA MATA,0.625
Felisburgo,JEQUITINHONHA,0.25
Felixlândia,CENTRAL MINEIRA,0.65
Felício dos Santos,JEQUITINHONHA,0.8888888888888888
Fernandes Tourinho,VALE DO RIO DOCE,0.4444444444444444
Ferros,METROPOLITANA DE BELO HORIZONTE,0.7777777777777778
Fervedouro,ZONA DA MATA,0.5416666666666666
Florestal,METROPOLITANA DE BELO HORIZONTE,0.8734177215189873
Formiga,OESTE DE MINAS,0.6243243243243243
Formoso,NOROESTE DE MINAS,0.6875
Fortaleza de Minas,SUL/SUDOESTE DE MINAS,0.5
Fortuna de Minas,METROPOLITANA DE BELO HORIZONTE,0.42857142857142855
Francisco Badaró,JEQUITINHONHA,0.4166666666666667
Francisco Dumont,NORTE DE MINAS,0.0
Francisco Sá,NORTE DE MINAS,0.7636363636363637
Franciscópolis,VALE DO MUCURI,0.3125
Frei Gaspar,VALE DO MUCURI,0.7777777777777778
Frei Inocêncio,VALE DO RIO DOCE,0.25
Frei Lagonegro,VALE DO RIO DOCE,0.6666666666666666
Fronteira,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,0.4883720930232558
Fronteira dos Vales,VALE DO MUCURI,0.2
Fruta de Leite,NORTE DE MINAS,0.7
Frutal,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,0.6445497630331753
Funilândia,METROPOLITANA DE BELO HORIZONTE,0.7142857142857143
Galiléia,VALE DO RIO DOCE,0.0
Gameleiras,NORTE DE MINAS,0.14285714285714285
Glaucilândia,NORTE DE MINAS,0.4
Goiabeira,VALE DO RIO DOCE,0.6666666666666666
Goianá,ZONA DA MATA,0.6086956521739131
Gonzaga,VALE DO RIO DOCE,0.3333333333333333
Gonçalves,SUL/SUDOESTE DE MINAS,0.125
Gouveia,JEQUITINHONHA,0.5483870967741935
Governador Valadares,VALE DO RIO DOCE,0.6828571428571428
Grupiara,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,0.8333333333333334
Grão Mogol,NORTE DE MINAS,0.5
Guanhães,VALE DO RIO DOCE,0.5566037735849056
Guapé,SUL/SUDOESTE DE MINAS,0.2571428571428571
Guaraciaba,ZONA DA MATA,0.6153846153846154
Guaraciama,NORTE DE MINAS,0.6153846153846154
Guarani,ZONA DA MATA,0.5
Guaranésia,SUL/SUDOESTE DE MINAS,0.6578947368421053
Guarará,ZONA DA MATA,0.5
Guarda-Mor,NOROESTE DE MINAS,0.8
Guaxupé,SUL/SUDOESTE DE MINAS,0.6335403726708074
Guidoval,ZONA DA MATA,0.4
Guimarânia,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,0.5714285714285714
Guiricema,ZONA DA MATA,0.9666666666666667
Gurinhatã,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,0.16666666666666666
Heliodora,SUL/SUDOESTE DE MINAS,0.4375
Iapu,VALE DO RIO DOCE,0.5428571428571428
Ibertioga,CAMPO DAS VERTENTES,0.5
Ibiaí,NORTE DE MINAS,0.4166666666666667
Ibiracatu,NORTE DE MINAS,0.5
Ibiraci,SUL/SUDOESTE DE MINAS,0.5
Ibirité,METROPOLITANA DE BELO HORIZONTE,0.4983922829581994
Ibitiúra de Minas,SUL/SUDOESTE DE MINAS,0.4
Ibituruna,OESTE DE MINAS,0.2
Ibiá,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,0.5882352941176471
Icaraí de Minas,NORTE DE MINAS,0.5
Igarapé,METROPOLITANA DE BELO HORIZONTE,0.5504587155963303
Igaratinga,OESTE DE MINAS,0.14285714285714285
Iguatama,OESTE DE MINAS,0.5
Ijaci,CAMPO DAS VERTENTES,0.6206896551724138
Ilicínea,SUL/SUDOESTE DE MINAS,0.47368421052631576
Imbé de Minas,VALE DO RIO DOCE,0.2
Inconfidentes,SUL/SUDOESTE DE MINAS,0.7216494845360825
Indaiabira,NORTE DE MINAS,0.7142857142857143
Indianópolis,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,0.625
Ingaí,CAMPO DAS VERTENTES,0.8333333333333334
Inhapim,VALE DO RIO DOCE,0.5857142857142857
Inhaúma,METROPOLITANA DE BELO HORIZONTE,0.5555555555555556
Inimutaba,CENTRAL MINEIRA,1.0
Ipaba,VALE DO RIO DOCE,0.5
Ipanema,VALE DO RIO DOCE,0.4126984126984127
Ipatinga,VALE DO RIO DOCE,0.6826758147512865
Ipiaçu,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,0.8
Ipuiúna,SUL/SUDOESTE DE MINAS,0.47619047619047616
Iraí de Minas,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,0.6153846153846154
Itabira,METROPOLITANA DE BELO HORIZONTE,0.7602339181286549
Itabirinha,VALE DO RIO DOCE,0.6666666666666666
Itabirito,METROPOLITANA DE BELO HORIZONTE,0.6127167630057804
Itacambira,NORTE DE MINAS,0.8421052631578947
Itacarambi,NORTE DE MINAS,0.5555555555555556
Itaguara,METROPOLITANA DE BELO HORIZONTE,0.7391304347826086
Itaipé,VALE DO MUCURI,0.7
Itajubá,SUL/SUDOESTE DE MINAS,0.6603053435114504
Itamarandiba,JEQUITINHONHA,0.6829268292682927
Itamarati de Minas,ZONA DA MATA,0.4444444444444444
Itambacuri,VALE DO RIO DOCE,0.4418604651162791
Itambé do Mato Dentro,METROPOLITANA DE BELO HORIZONTE,0.75
Itamogi,SUL/SUDOESTE DE MINAS,0.7368421052631579
Itamonte,SUL/SUDOESTE DE MINAS,0.5625
Itanhandu,SUL/SUDOESTE DE MINAS,0.6714285714285714
Itanhomi,VALE DO RIO DOCE,0.5666666666666667
Itaobim,JEQUITINHONHA,0.5862068965517241
Itapagipe,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,0.6833333333333333
Itapecerica,OESTE DE MINAS,0.6491228070175439
Itapeva,SUL/SUDOESTE DE MINAS,0.4230769230769231
Itatiaiuçu,METROPOLITANA DE BELO HORIZONTE,0.3888888888888889
Itaverava,METROPOLITANA DE BELO HORIZONTE,0.4
Itaú de Minas,SUL/SUDOESTE DE MINAS,0.6923076923076923
Itaúna,OESTE DE MINAS,0.6666666666666666
Itinga,JEQUITINHONHA,0.375
Itueta,VALE DO RIO DOCE,0.75
Ituiutaba,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,0.6630901287553648
Itumirim,CAMPO DAS VERTENTES,0.6666666666666666
Iturama,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,0.5960264900662252
Itutinga,CAMPO DAS VERTENTES,0.8
JEQUITINHONHA,JEQUITINHONHA,0.6764705882352942
Jaboticatubas,METROPOLITANA DE BELO HORIZONTE,0.5918367346938775
