NO_MUNICIPIO_ESC,MESORREGIAO,PRESENCA
Abadia dos Dourados,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,1.0
Abaeté,CENTRAL MINEIRA,0.8365384615384616
Abre Campo,ZONA DA MATA,0.896551724137931
Acaiaca,ZONA DA MATA,0.7619047619047619
Aguanil,OESTE DE MINAS,0.9523809523809523
Aimorés,VALE DO RIO DOCE,0.6842105263157895
Aiuruoca,SUL/SUDOESTE DE MINAS,0.9090909090909091
Alagoa,SUL/SUDOESTE DE MINAS,0.75
Albertina,SUL/SUDOESTE DE MINAS,0.5
Alfenas,SUL/SUDOESTE DE MINAS,0.8738317757009346
Alfredo Vasconcelos,CAMPO DAS VERTENTES,0.7333333333333333
Almenara,JEQUITINHONHA,0.8884615384615384
Alpercata,VALE DO RIO DOCE,1.0
Alpinópolis,SUL/SUDOESTE DE MINAS,0.88
Alterosa,SUL/SUDOESTE DE MINAS,0.8461538461538461
Alto Caparaó,ZONA DA MATA,0.5833333333333334
Alto Jequitibá,ZONA DA MATA,0.625
Alto Rio Doce,ZONA DA MATA,0.8666666666666667
Alvarenga,VALE DO RIO DOCE,0.8571428571428571
Alvinópolis,METROPOLITANA DE BELO HORIZONTE,0.8448275862068966
Alvorada de Minas,METROPOLITANA DE BELO HORIZONTE,0.868421052631579
Além Paraíba,ZONA DA MATA,0.8292682926829268
Amparo do Serra,ZONA DA MATA,0.782608695652174
Andradas,SUL/SUDOESTE DE MINAS,0.7604166666666666
Andrelândia,SUL/SUDOESTE DE MINAS,0.9135802469135802
Angelândia,JEQUITINHONHA,0.9411764705882353
Antônio Carlos,CAMPO DAS VERTENTES,0.8108108108108109
Antônio Dias,VALE DO RIO DOCE,0.8297872340425532
Antônio Prado de Minas,ZONA DA MATA,1.0
Aracitaba,ZONA DA MATA,1.0
Araguari,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,0.848816029143898
Arantina,SUL/SUDOESTE DE MINAS,0.9090909090909091
Araponga,ZONA DA MATA,0.7777777777777778
Araporã,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,0.6571428571428571
